inventory_id,nsn,mpn,cage_code,part_name,category_section,quantity,uom,storage_location,unit_price,total_value,condition,photo_url
INV-HMMWV-00001,2815-01-231-3672,5705684,12436,"ENGINE AND CONTAINE 6.2 LITER, USBL",Engine,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00002,2815-01-314-7940,5705628,12436,"ENGINE AND CONTAINE 6.2 LITER, USBL",Engine,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00003,2815-01-406-6675,57K3226,12436,"ENGINE,WITH CONTAIN 1996 6.5 LITER",Engine,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00004,2815-01-439-6664,57K3525,12436,"ENGINE,WITH CONTAIN 1997 6.5 LITER",Engine,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00005,2815-01-453-7404,57K3537,12436,"ENGINE,WITH CONTAIN 1998 6.5 LITER",Engine,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00006,2815-01-410-9710,57K3223,12436,ENGINE WITH CONTAIN 1995 AND 1996 i,Engine,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00007,2815-01-439-6665,57K3524,12436,"ENGINE,WITH CONTAIN 1997 6.5 LITER",Engine,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00008,2815-01-453-7403,57K3536,12436,"ENGINE,WITH CONTAIN 1998 6.5 LITER",Engine,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00009,5305-01-215-5174,12340515,12436,"SCREW,ASSEMBLED WAS 4.2-1.41 X 13MM =",Hardware,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00010,4710-01-196-1642,12339170,12436,"TUBE ASSEMBLY,METAL",Tubing / Hoses,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00011,5331-00-935-9136,274244,12436,O-RING ei fod fe susidgd Sade Bone a Sees Sw eR SS,Seals / Gaskets,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00012,6680-01-179-4350,12339168,12436,"GAGE ROD-CAP,LIQUID",Instruments,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00013,2590-01-147-4285,14071059,12436,FILLER NECK,Suspension,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00014,5325-01-151-6117,14028942,12436,"GROMMET, NONMETALLIC",Hardware,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00015,5306-01-149-6280,1635490,12436,"BOLT, SELF-LOCKING 10-1.5 X 25MM",Hardware,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00016,5342-01-160-4397,14022650,12436,"CILAAMB 5. ii0: ie: ianie db ses Genk de Reise w Ep5 bw e, a ew Geel",Hardware,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00017,2815-01-449-5585,7849306,12436,DRIVE SHAFT ASSEMBL,Engine,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00018,5330-01-156-5147,14022649,12436,GASKET ois cade ie eee a wade a eee 4 weal ae dense,Seals / Gaskets,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00019,3040-01-163-7208,14022699,12436,"SHAFT, STRAIGHT",Drivetrain,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00020,2815-01-168-7871,23502073,12436,"PUMP AND SCREEN,OIL ALL 6.2 LITER",Engine,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00021,2815-01-475-0825,12556342,12436,"OIL PUMP ASSEMBLY,E 1997,98 6.5",Engine,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00022,5330-01-154-7159,477249,12436,".RETAINER, PACKING",Seals / Gaskets,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00023,2910-01-189-8851,23500008,12436,". STRAINER ELEMENT,SE 6.2 LITER AND",Engine / Fuel,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00024,4730-01-473-3279,12556688,12436,". STRAINER ELEMENT,SE 6.5 LITER, USE",Fittings / Hoses,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00025,5315-00-828-5487,3-32X3-4LG,12436,".PIN,GROOVED,HEADLES USE WITH P/N",Hardware,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00026,5340-01-194-5294,3704871,12436,".DISK,SOLID,PLAIN USE WITH P/N",Hardware,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00027,2805-00-336-1716,3702366,12436,". VALVE, RELIEF,PRESSU USE WITH P/N",Engine,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00028,5360-01-165-1563,360582,12436,". SPRING, HELICAL, COMP USE WITH P/N",Springs,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00029,5307-01-187-0519,23500006,12436,"STUD, SHOULDERED AND",Hardware,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00030,5340-01-384-9987,5741613,12436,"BRACKET,ANGLE 6.2 LITER AND 6.5",Hardware,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00031,5340-01-472-8851,12557708,12436,"BRACKET,ANGLE 6.5 LITER",Hardware,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00032,5306-01-253-7073,11508353,12436,"BOLT,MACHINE",Hardware,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00033,5310-01-250-7679,23521131,12436,NUT 11-1.5 MM,Hardware,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00034,5306-01-230-3354,11508534,12436,"BOLT,MACHINE 8-1.25 X 16 MM",Hardware,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00035,2815-01-168-7912,5588022,12436,OIL PAN 6.2 LITER,Engine,0,EA,,0.0,0.0,NOS,
